STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
       3032;19310922;    5;   0.0;   0;-999;-999;eor
       3032;19310923;    5;   0.0;   0;-999;-999;eor
       3032;19310924;    5;   0.0;   0;-999;-999;eor
       3032;19310925;    5;   0.0;   0;-999;-999;eor
       3032;19310926;    5;   0.0;   0;-999;-999;eor
       3032;19310927;    5;   3.5;   1;-999;-999;eor
       3032;19310928;    5;   0.0;   0;-999;-999;eor
       3032;19310929;    5;   0.0;   0;-999;-999;eor
       3032;19310930;    5;   0.0;   0;-999;-999;eor
       3032;19311001;    5;   0.0;   0;-999;-999;eor
       3032;19311002;    5;   1.0;   1;-999;-999;eor
       3032;19311003;    5;   1.0;   1;-999;-999;eor
       3032;19311004;    5;   1.5;   1;-999;-999;eor
       3032;19311005;    5;   0.7;   1;-999;-999;eor
       3032;19311006;    5;   0.0;   0;-999;-999;eor
       3032;19311007;    5;  13.2;   1;-999;-999;eor
       3032;19311008;    5;   8.3;   1;-999;-999;eor
       3032;19311009;    5;   0.0;   0;-999;-999;eor
       3032;19311010;    5;   0.0;   0;-999;-999;eor
       3032;19311011;    5;   0.0;   0;-999;-999;eor
       3032;19311012;    5;   0.0;   0;-999;-999;eor
       3032;19311013;    5;   2.2;   1;-999;-999;eor
       3032;19311014;    5;   0.0;   0;-999;-999;eor
       3032;19311015;    5;   0.0;   0;-999;-999;eor
       3032;19311016;    5;   0.0;   0;-999;-999;eor
       3032;19311017;    5;   0.0;   0;-999;-999;eor
       3032;19311018;    5;   0.0;   0;-999;-999;eor
       3032;19311019;    5;   3.1;   1;-999;-999;eor
       3032;19311020;    5;   1.9;   1;-999;-999;eor
       3032;19311021;    5;   0.0;   0;-999;-999;eor
       3032;19311022;    5;   1.3;   1;-999;-999;eor
       3032;19311023;    5;   0.0;   0;-999;-999;eor
       3032;19311024;    5;   3.3;   1;-999;-999;eor
       3032;19311025;    5;   0.2;   1;-999;-999;eor
       3032;19311026;    5;   3.2;   1;-999;-999;eor
       3032;19311027;    5;   0.0;   0;-999;-999;eor
       3032;19311028;    5;   5.7;   8;-999;-999;eor
       3032;19311029;    5;   4.3;   1;-999;-999;eor
       3032;19311030;    5;   0.3;   8;-999;-999;eor
       3032;19311031;    5;   0.5;   1;-999;-999;eor
       3032;19311101;    5;   0.1;   1;-999;-999;eor
       3032;19311102;    5;   0.1;   1;-999;-999;eor
       3032;19311103;    5;   0.0;   0;-999;-999;eor
       3032;19311104;    5;   0.0;   0;-999;-999;eor
       3032;19311105;    5;   0.0;   0;-999;-999;eor
       3032;19311106;    5;   0.0;   0;-999;-999;eor
       3032;19311107;    5;   0.0;   0;-999;-999;eor
       3032;19311108;    5;   3.3;   1;-999;-999;eor
       3032;19311109;    5;   2.1;   1;-999;-999;eor
       3032;19311110;    5;   2.8;   1;-999;-999;eor
       3032;19311111;    5;   1.5;   1;-999;-999;eor
       3032;19311112;    5;   2.7;   1;-999;-999;eor
       3032;19311113;    5;   1.0;   1;-999;-999;eor
       3032;19311114;    5;   0.0;   0;-999;-999;eor
       3032;19311115;    5;   0.0;   0;-999;-999;eor
       3032;19311116;    5;   0.0;   0;-999;-999;eor
       3032;19311117;    5;   0.0;   0;-999;-999;eor
       3032;19311118;    5;   0.0;   0;-999;-999;eor
       3032;19311119;    5;   0.0;   0;-999;-999;eor
       3032;19311120;    5;   0.0;   0;-999;-999;eor
       3032;19311121;    5;   0.0;   0;-999;-999;eor
       3032;19311122;    5;   0.0;   0;-999;-999;eor
       3032;19311123;    5;   0.0;   0;-999;-999;eor
       3032;19311124;    5;   0.2;   1;-999;-999;eor
       3032;19311125;    5;   0.2;   1;-999;-999;eor
       3032;19311126;    5;   2.7;   1;-999;-999;eor
       3032;19311127;    5;   3.2;   1;-999;-999;eor
       3032;19311128;    5;   0.0;   0;-999;-999;eor
       3032;19311129;    5;   0.0;   0;-999;-999;eor
       3032;19311130;    5;   0.0;   0;-999;-999;eor
       3032;19311201;    5;   0.4;   1;-999;-999;eor
       3032;19311202;    5;   0.0;   0;-999;-999;eor
       3032;19311203;    5;   9.5;   8;-999;-999;eor
       3032;19311204;    5;   8.4;   1;-999;-999;eor
       3032;19311205;    5;   4.3;   1;-999;-999;eor
       3032;19311206;    5;   2.1;   1;-999;-999;eor
       3032;19311207;    5;   2.9;   1;-999;-999;eor
       3032;19311208;    5;   1.5;   1;-999;-999;eor
       3032;19311209;    5;   1.7;   1;-999;-999;eor
       3032;19311210;    5;   0.0;   0;-999;-999;eor
       3032;19311211;    5;   0.0;   0;-999;-999;eor
       3032;19311212;    5;   0.0;   0;-999;-999;eor
       3032;19311213;    5;   0.0;   0;-999;-999;eor
       3032;19311214;    5;   0.8;   1;-999;-999;eor
       3032;19311215;    5;   0.0;   0;-999;-999;eor
       3032;19311216;    5;   0.0;   0;-999;-999;eor
       3032;19311217;    5;   0.0;   0;-999;-999;eor
       3032;19311218;    5;   0.0;   0;-999;-999;eor
       3032;19311219;    5;   0.0;   0;-999;-999;eor
       3032;19311220;    5;   0.0;   0;-999;-999;eor
       3032;19311221;    5;   0.0;   0;-999;-999;eor
       3032;19311222;    5;   0.0;   0;-999;-999;eor
       3032;19311223;    5;   5.0;   1;-999;-999;eor
       3032;19311224;    5;   0.0;   0;-999;-999;eor
       3032;19311225;    5;   0.0;   0;-999;-999;eor
       3032;19311226;    5;   0.0;   0;-999;-999;eor
       3032;19311227;    5;   0.8;   1;-999;-999;eor
       3032;19311228;    5;   4.8;   8;-999;-999;eor
       3032;19311229;    5;   2.3;   7;-999;-999;eor
       3032;19311230;    5;   0.0;   0;-999;-999;eor
       3032;19311231;    5;   4.6;   7;-999;-999;eor
       3032;19320101;    5;   3.6;   8;-999;-999;eor
       3032;19320102;    5;   8.4;   1;-999;-999;eor
       3032;19320103;    5;  12.4;   8;-999;-999;eor
       3032;19320104;    5;   1.8;   1;-999;-999;eor
       3032;19320105;    5;   9.8;   1;-999;-999;eor
       3032;19320106;    5;  12.3;   1;-999;-999;eor
       3032;19320107;    5;   5.0;   1;-999;-999;eor
       3032;19320108;    5;   1.9;   1;-999;-999;eor
       3032;19320109;    5;   0.0;   0;-999;-999;eor
       3032;19320110;    5;   0.5;   1;-999;-999;eor
       3032;19320111;    5;   3.7;   1;-999;-999;eor
       3032;19320112;    5;   0.1;   1;-999;-999;eor
       3032;19320113;    5;   7.5;   1;-999;-999;eor
       3032;19320114;    5;   0.0;   0;-999;-999;eor
       3032;19320115;    5;   0.5;   1;-999;-999;eor
       3032;19320116;    5;   0.0;   0;-999;-999;eor
       3032;19320117;    5;   1.7;   1;-999;-999;eor
       3032;19320118;    5;   0.1;   1;-999;-999;eor
       3032;19320119;    5;   0.0;   0;-999;-999;eor
       3032;19320120;    5;   0.0;   0;-999;-999;eor
       3032;19320121;    5;   0.0;   0;-999;-999;eor
       3032;19320122;    5;   0.0;   0;-999;-999;eor
       3032;19320123;    5;   0.0;   0;-999;-999;eor
       3032;19320124;    5;   0.0;   0;-999;-999;eor
       3032;19320125;    5;   0.0;   0;-999;-999;eor
       3032;19320126;    5;   0.0;   0;-999;-999;eor
       3032;19320127;    5;   0.0;   0;-999;-999;eor
       3032;19320128;    5;   0.0;   0;-999;-999;eor
       3032;19320129;    5;   0.0;   0;-999;-999;eor
       3032;19320130;    5;   0.3;   1;-999;-999;eor
       3032;19320131;    5;   0.0;   0;-999;-999;eor
       3032;19320201;    5;   0.0;   0;-999;-999;eor
       3032;19320202;    5;   0.0;   0;-999;-999;eor
       3032;19320203;    5;   0.5;   1;-999;-999;eor
       3032;19320204;    5;   0.0;   0;-999;-999;eor
       3032;19320205;    5;   0.0;   0;-999;-999;eor
       3032;19320206;    5;   0.0;   0;-999;-999;eor
       3032;19320207;    5;   0.2;   1;-999;-999;eor
       3032;19320208;    5;   0.0;   0;-999;-999;eor
       3032;19320209;    5;   0.0;   0;-999;-999;eor
       3032;19320210;    5;   0.0;   0;-999;-999;eor
       3032;19320211;    5;   0.0;   0;-999;-999;eor
       3032;19320212;    5;   0.0;   0;-999;-999;eor
       3032;19320213;    5;   0.0;   0;-999;-999;eor
       3032;19320214;    5;   0.0;   0;-999;-999;eor
       3032;19320215;    5;   0.0;   0;-999;-999;eor
       3032;19320216;    5;   0.0;   0;-999;-999;eor
       3032;19320217;    5;   0.0;   0;-999;-999;eor
       3032;19320218;    5;   0.0;   0;-999;-999;eor
       3032;19320219;    5;   0.0;   0;-999;-999;eor
       3032;19320220;    5;   0.0;   0;-999;-999;eor
       3032;19320221;    5;   0.0;   0;-999;-999;eor
       3032;19320222;    5;   0.0;   0;-999;-999;eor
       3032;19320223;    5;   0.0;   0;-999;-999;eor
       3032;19320224;    5;   0.0;   0;-999;-999;eor
       3032;19320225;    5;   0.0;   0;-999;-999;eor
       3032;19320226;    5;   0.0;   0;-999;-999;eor
       3032;19320227;    5;   0.0;   0;-999;-999;eor
       3032;19320228;    5;   0.0;   0;-999;-999;eor
       3032;19320229;    5;   0.0;   0;-999;-999;eor
       3032;19320301;    5;   0.0;   0;-999;-999;eor
       3032;19320302;    5;   0.0;   0;-999;-999;eor
       3032;19320303;    5;   0.0;   0;-999;-999;eor
       3032;19320304;    5;   0.0;   0;-999;-999;eor
       3032;19320305;    5;   0.0;   0;-999;-999;eor
       3032;19320306;    5;   2.1;   7;-999;-999;eor
       3032;19320307;    5;   0.4;   7;-999;-999;eor
       3032;19320308;    5;   0.2;   7;-999;-999;eor
       3032;19320309;    5;   0.0;   0;-999;-999;eor
       3032;19320310;    5;   0.3;   7;-999;-999;eor
       3032;19320311;    5;   0.0;   0;-999;-999;eor
       3032;19320312;    5;   1.9;   8;-999;-999;eor
       3032;19320313;    5;   0.0;   0;-999;-999;eor
       3032;19320314;    5;   0.0;   0;-999;-999;eor
       3032;19320315;    5;   0.0;   0;-999;-999;eor
       3032;19320316;    5;   0.0;   0;-999;-999;eor
       3032;19320317;    5;   0.0;   0;-999;-999;eor
       3032;19320318;    5;   0.0;   0;-999;-999;eor
       3032;19320319;    5;   0.0;   0;-999;-999;eor
       3032;19320320;    5;   0.0;   0;-999;-999;eor
       3032;19320321;    5;   0.0;   0;-999;-999;eor
       3032;19320322;    5;   0.0;   0;-999;-999;eor
       3032;19320323;    5;   0.0;   0;-999;-999;eor
       3032;19320324;    5;   0.0;   0;-999;-999;eor
       3032;19320325;    5;   0.0;   0;-999;-999;eor
       3032;19320326;    5;   0.0;   0;-999;-999;eor
       3032;19320327;    5;   0.0;   0;-999;-999;eor
       3032;19320328;    5;   2.0;   1;-999;-999;eor
       3032;19320329;    5;   4.1;   1;-999;-999;eor
       3032;19320330;    5;   0.2;   1;-999;-999;eor
       3032;19320331;    5;   0.0;   0;-999;-999;eor
       3032;19320401;    5;   0.0;   0;-999;-999;eor
       3032;19320402;    5;   0.0;   0;-999;-999;eor
       3032;19320403;    5;   1.7;   1;-999;-999;eor
       3032;19320404;    5;   5.1;   1;-999;-999;eor
       3032;19320405;    5;   1.2;   1;-999;-999;eor
       3032;19320406;    5;   0.9;   1;-999;-999;eor
       3032;19320407;    5;   3.7;   8;-999;-999;eor
       3032;19320408;    5;   1.8;   8;-999;-999;eor
       3032;19320409;    5;   6.4;   1;-999;-999;eor
       3032;19320410;    5;   6.2;   1;-999;-999;eor
       3032;19320411;    5;   0.2;   1;-999;-999;eor
       3032;19320412;    5;   0.0;   0;-999;-999;eor
       3032;19320413;    5;   0.0;   0;-999;-999;eor
       3032;19320414;    5;   0.0;   0;-999;-999;eor
       3032;19320415;    5;   0.0;   0;-999;-999;eor
       3032;19320416;    5;   0.0;   0;-999;-999;eor
       3032;19320417;    5;   0.0;   0;-999;-999;eor
       3032;19320418;    5;   0.0;   0;-999;-999;eor
       3032;19320419;    5;   0.0;   0;-999;-999;eor
       3032;19320420;    5;   0.5;   1;-999;-999;eor
       3032;19320421;    5;   2.6;   1;-999;-999;eor
       3032;19320422;    5;   0.0;   0;-999;-999;eor
       3032;19320423;    5;   3.2;   1;-999;-999;eor
       3032;19320424;    5;   0.1;   1;-999;-999;eor
       3032;19320425;    5;   0.0;   0;-999;-999;eor
       3032;19320426;    5;   2.3;   1;-999;-999;eor
       3032;19320427;    5;   0.0;   0;-999;-999;eor
       3032;19320428;    5;   0.2;   1;-999;-999;eor
       3032;19320429;    5;   0.3;   1;-999;-999;eor
       3032;19320430;    5;   0.0;   0;-999;-999;eor
       3032;19320501;    5;   0.0;   0;-999;-999;eor
       3032;19320502;    5;   0.0;   0;-999;-999;eor
       3032;19320503;    5;   0.0;   0;-999;-999;eor
       3032;19320504;    5;   0.0;   0;-999;-999;eor
       3032;19320505;    5;   0.3;   1;-999;-999;eor
       3032;19320506;    5;   0.0;   0;-999;-999;eor
